tick,topic_id,popularity,gini_index,polarized,agents,ideology_weight
30,t_0_g_0,0.34,0.0320,true,500,1
30,t_1_g_0,0.346,0.0320,true,500,1
30,t_2_g_0,0.314,0.0320,true,500,1
60,t_0_g_0,0.34,0.0320,true,500,1
60,t_1_g_0,0.346,0.0320,true,500,1
60,t_2_g_0,0.314,0.0320,true,500,1
90,t_0_g_0,0.302,0.2140,true,500,1
90,t_1_g_0,0.456,0.2140,true,500,1
90,t_2_g_0,0.242,0.2140,true,500,1
120,t_0_g_0,0.296,0.2040,true,500,1
120,t_1_g_0,0.454,0.2040,true,500,1
120,t_2_g_0,0.25,0.2040,true,500,1
150,t_0_g_0,0.27,0.1880,true,500,1
150,t_1_g_0,0.458,0.1880,true,500,1
150,t_2_g_0,0.272,0.1880,true,500,1
180,t_0_g_1,0,0.6012,true,500,1
180,t_1_g_0,0.582,0.6012,true,500,1
180,t_2_g_0,0.386,0.6012,true,500,1
210,t_0_g_1,0.016,0.5740,true,500,1
210,t_1_g_0,0.59,0.5740,true,500,1
210,t_2_g_0,0.394,0.5740,true,500,1
240,t_0_g_1,0.206,0.7900,true,500,1
240,t_1_g_0,0.792,0.7900,true,500,1
240,t_2_g_1,0.002,0.7900,true,500,1
270,t_0_g_1,0.22,0.7640,true,500,1
270,t_1_g_0,0.772,0.7640,true,500,1
270,t_2_g_1,0.008,0.7640,true,500,1
300,t_0_g_1,0.228,0.7080,true,500,1
300,t_1_g_0,0.74,0.7080,true,500,1
300,t_2_g_1,0.032,0.7080,true,500,1
330,t_0_g_1,0.232,0.6600,true,500,1
330,t_1_g_0,0.714,0.6600,true,500,1
330,t_2_g_1,0.054,0.6600,true,500,1
360,t_0_g_1,0.244,0.6240,true,500,1
360,t_1_g_0,0.69,0.6240,true,500,1
360,t_2_g_1,0.066,0.6240,true,500,1
390,t_0_g_1,0.264,0.6080,true,500,1
390,t_1_g_0,0.672,0.6080,true,500,1
390,t_2_g_1,0.064,0.6080,true,500,1
420,t_0_g_1,0.302,0.6980,true,500,1
420,t_1_g_0,0.698,0.6980,true,500,1
420,t_2_g_2,0,0.6980,true,500,1
450,t_0_g_1,0.304,0.6720,true,500,1
450,t_1_g_0,0.684,0.6720,true,500,1
450,t_2_g_2,0.012,0.6720,true,500,1
480,t_0_g_1,0.312,0.6040,true,500,1
480,t_1_g_0,0.646,0.6040,true,500,1
480,t_2_g_2,0.042,0.6040,true,500,1
510,t_0_g_1,0.318,0.5620,true,500,1
510,t_1_g_0,0.622,0.5620,true,500,1
510,t_2_g_2,0.06,0.5620,true,500,1
540,t_0_g_1,0.624,0.6180,true,500,1
540,t_1_g_1,0.006,0.6180,true,500,1
540,t_2_g_2,0.37,0.6180,true,500,1
570,t_0_g_1,0.618,0.6080,true,500,1
570,t_1_g_1,0.01,0.6080,true,500,1
570,t_2_g_2,0.372,0.6080,true,500,1
600,t_0_g_1,0.794,0.7920,true,500,1
600,t_1_g_1,0.204,0.7920,true,500,1
600,t_2_g_3,0.002,0.7920,true,500,1
630,t_0_g_1,0.778,0.7620,true,500,1
630,t_1_g_1,0.206,0.7620,true,500,1
630,t_2_g_3,0.016,0.7620,true,500,1
660,t_0_g_1,0.856,0.8400,true,500,1
660,t_1_g_1,0.016,0.8400,true,500,1
660,t_2_g_3,0.128,0.8400,true,500,1
690,t_0_g_1,0.838,0.8020,true,500,1
690,t_1_g_1,0.036,0.8020,true,500,1
690,t_2_g_3,0.126,0.8020,true,500,1
720,t_0_g_1,0.902,0.8560,true,500,1
720,t_1_g_2,0.052,0.8560,true,500,1
720,t_2_g_3,0.046,0.8560,true,500,1
750,t_0_g_1,0.882,0.8400,true,500,1
750,t_1_g_2,0.076,0.8400,true,500,1
750,t_2_g_3,0.042,0.8400,true,500,1
780,t_0_g_1,0.908,0.8920,true,500,1
780,t_1_g_2,0.076,0.8920,true,500,1
780,t_2_g_4,0.016,0.8920,true,500,1
810,t_0_g_1,0.888,0.8420,true,500,1
810,t_1_g_2,0.066,0.8420,true,500,1
810,t_2_g_4,0.046,0.8420,true,500,1
840,t_0_g_1,0.88,0.8320,true,500,1
840,t_1_g_2,0.048,0.8320,true,500,1
