tick,topic_id,popularity,gini_index,polarized,agents,ideology_weight
30,t_0_g_0,0.194,0.0710,false,500,1
30,t_1_g_0,0.162,0.0710,false,500,1
30,t_2_g_0,0.204,0.0710,false,500,1
30,t_3_g_0,0.22,0.0710,false,500,1
30,t_4_g_0,0.22,0.0710,false,500,1
60,t_0_g_0,0.194,0.0710,false,500,1
60,t_1_g_0,0.162,0.0710,false,500,1
60,t_2_g_0,0.204,0.0710,false,500,1
60,t_3_g_0,0.22,0.0710,false,500,1
60,t_4_g_0,0.22,0.0710,false,500,1
90,t_0_g_0,0.286,0.3890,false,500,1
90,t_1_g_0,0.052,0.3890,false,500,1
90,t_2_g_0,0.286,0.3890,false,500,1
90,t_3_g_0,0.052,0.3890,false,500,1
90,t_4_g_0,0.324,0.3890,false,500,1
120,t_0_g_0,0.284,0.3690,false,500,1
120,t_1_g_0,0.058,0.3690,false,500,1
120,t_2_g_0,0.28,0.3690,false,500,1
120,t_3_g_0,0.062,0.3690,false,500,1
120,t_4_g_0,0.316,0.3690,false,500,1
150,t_0_g_0,0.302,0.4260,false,500,1
150,t_1_g_0,0.042,0.4260,false,500,1
150,t_2_g_0,0.288,0.4260,false,500,1
150,t_3_g_0,0.036,0.4260,false,500,1
150,t_4_g_0,0.332,0.4260,false,500,1
180,t_0_g_0,0.296,0.4789,false,500,1
180,t_1_g_1,0,0.4789,false,500,1
180,t_2_g_0,0.28,0.4789,false,500,1
180,t_3_g_0,0.044,0.4789,false,500,1
180,t_4_g_0,0.328,0.4789,false,500,1
210,t_0_g_0,0.308,0.4790,false,500,1
210,t_1_g_1,0.026,0.4790,false,500,1
210,t_2_g_0,0.304,0.4790,false,500,1
210,t_3_g_1,0.012,0.4790,false,500,1
210,t_4_g_0,0.35,0.4790,false,500,1
240,t_0_g_0,0.376,0.5460,false,500,1
240,t_1_g_1,0.104,0.5460,false,500,1
240,t_2_g_1,0.002,0.5460,false,500,1
240,t_3_g_1,0.106,0.5460,false,500,1
240,t_4_g_0,0.412,0.5460,false,500,1
270,t_0_g_0,0.376,0.5260,false,500,1
270,t_1_g_1,0.092,0.5260,false,500,1
270,t_2_g_1,0.016,0.5260,false,500,1
270,t_3_g_1,0.116,0.5260,false,500,1
270,t_4_g_0,0.4,0.5260,false,500,1
300,t_0_g_0,0.404,0.5850,false,500,1
300,t_1_g_1,0.026,0.5850,false,500,1
300,t_2_g_1,0.074,0.5850,false,500,1
300,t_3_g_1,0.058,0.5850,false,500,1
300,t_4_g_0,0.438,0.5850,false,500,1
330,t_0_g_0,0.4,0.5730,false,500,1
330,t_1_g_1,0.038,0.5730,false,500,1
330,t_2_g_1,0.076,0.5730,false,500,1
330,t_3_g_1,0.05,0.5730,false,500,1
330,t_4_g_0,0.436,0.5730,false,500,1
360,t_0_g_0,0.422,0.6120,false,500,1
360,t_1_g_1,0.046,0.6120,false,500,1
360,t_2_g_1,0.034,0.6120,false,500,1
360,t_3_g_1,0.042,0.6120,false,500,1
360,t_4_g_0,0.456,0.6120,false,500,1
390,t_0_g_0,0.436,0.6790,false,500,1
390,t_1_g_2,0.018,0.6790,false,500,1
390,t_2_g_1,0.056,0.6790,false,500,1
390,t_3_g_2,0.01,0.6790,false,500,1
390,t_4_g_0,0.48,0.6790,false,500,1
420,t_0_g_0,0.45,0.7040,false,500,1
420,t_1_g_2,0.038,0.7040,false,500,1
420,t_2_g_2,0,0.7040,false,500,1
420,t_3_g_2,0.022,0.7040,false,500,1
420,t_4_g_0,0.49,0.7040,false,500,1
450,t_0_g_0,0.44,0.6840,false,500,1
450,t_1_g_2,0.032,0.6840,false,500,1
450,t_2_g_2,0.014,0.6840,false,500,1
450,t_3_g_2,0.024,0.6840,false,500,1
450,t_4_g_0,0.49,0.6840,false,500,1
480,t_0_g_0,0.422,0.6490,false,500,1
480,t_1_g_2,0.026,0.6490,false,500,1
480,t_2_g_2,0.04,0.6490,false,500,1
480,t_3_g_2,0.032,0.6490,false,500,1
480,t_4_g_0,0.48,0.6490,false,500,1
510,t_0_g_0,0.41,0.6420,false,500,1
510,t_1_g_2,0.034,0.6420,false,500,1
510,t_2_g_2,0.034,0.6420,false,500,1
510,t_3_g_2,0.034,0.6420,false,500,1
510,t_4_g_0,0.488,0.6420,false,500,1
540,t_0_g_0,0.426,0.6430,false,500,1
540,t_1_g_2,0.032,0.6430,false,500,1
540,t_2_g_2,0.026,0.6430,false,500,1
540,t_3_g_2,0.044,0.6430,false,500,1
540,t_4_g_0,0.472,0.6430,false,500,1
570,t_0_g_0,0.436,0.6970,false,500,1
570,t_1_g_3,0.014,0.6970,false,500,1
570,t_2_g_2,0.048,0.6970,false,500,1
570,t_3_g_3,0.008,0.6970,false,500,1
570,t_4_g_0,0.494,0.6970,false,500,1
600,t_0_g_0,0.43,0.6870,false,500,1
600,t_1_g_3,0.036,0.6870,false,500,1
600,t_2_g_3,0.004,0.6870,false,500,1
600,t_3_g_3,0.036,0.6870,false,500,1
600,t_4_g_0,0.494,0.6870,false,500,1
630,t_0_g_1,0,0.6240,false,500,1
630,t_1_g_3,0.122,0.6240,false,500,1
630,t_2_g_3,0.114,0.6240,false,500,1
630,t_3_g_3,0.166,0.6240,false,500,1
630,t_4_g_0,0.598,0.6240,false,500,1
660,t_0_g_1,0.01,0.5970,false,500,1
660,t_1_g_3,0.11,0.5970,false,500,1
660,t_2_g_3,0.134,0.5970,false,500,1
660,t_3_g_3,0.168,0.5970,false,500,1
660,t_4_g_0,0.578,0.5970,false,500,1
690,t_0_g_1,0.106,0.5870,false,500,1
690,t_1_g_3,0.084,0.5870,false,500,1
690,t_2_g_3,0.08,0.5870,false,500,1
690,t_3_g_3,0.078,0.5870,false,500,1
690,t_4_g_0,0.652,0.5870,false,500,1
720,t_0_g_1,0.116,0.5940,false,500,1
720,t_1_g_3,0.092,0.5940,false,500,1
720,t_2_g_3,0.068,0.5940,false,500,1
720,t_3_g_3,0.08,0.5940,false,500,1
720,t_4_g_0,0.644,0.5940,false,500,1
750,t_0_g_1,0.166,0.6940,false,500,1
750,t_1_g_3,0.084,0.6940,false,500,1
750,t_2_g_3,0.082,0.6940,false,500,1
750,t_3_g_4,0.008,0.6940,false,500,1
750,t_4_g_0,0.66,0.6940,false,500,1
780,t_0_g_1,0.214,0.7960,false,500,1
780,t_1_g_4,0.018,0.7960,false,500,1
780,t_2_g_4,0.002,0.7960,false,500,1
780,t_3_g_4,0.066,0.7960,false,500,1
780,t_4_g_0,0.7,0.7960,false,500,1
810,t_0_g_1,0.216,0.7710,false,500,1
810,t_1_g_4,0.026,0.7710,false,500,1
810,t_2_g_4,0.008,0.7710,false,500,1
810,t_3_g_4,0.066,0.7710,false,500,1
810,t_4_g_0,0.684,0.7710,false,500,1
840,t_0_g_1,0.228,0.7810,false,500,1
840,t_1_g_4,0.02,0.7810,false,500,1
840,t_2_g_4,0.032,0.7810,false,500,1
840,t_3_g_4,0.022,0.7810,false,500,1
840,t_4_g_0,0.698,0.7810,false,500,1
870,t_0_g_1,0.232,0.7550,false,500,1
870,t_1_g_4,0.022,0.7550,false,500,1
870,t_2_g_4,0.046,0.7550,false,500,1
870,t_3_g_4,0.026,0.7550,false,500,1
870,t_4_g_0,0.674,0.7550,false,500,1
900,t_0_g_2,0.016,0.7020,false,500,1
900,t_1_g_4,0.084,0.7020,false,500,1
900,t_2_g_4,0.09,0.7020,false,500,1
900,t_3_g_4,0.1,0.7020,false,500,1
900,t_4_g_0,0.71,0.7020,false,500,1
930,t_0_g_2,0.032,0.6790,false,500,1
930,t_1_g_4,0.09,0.6790,false,500,1
930,t_2_g_4,0.078,0.6790,false,500,1
930,t_3_g_4,0.1,0.6790,false,500,1
930,t_4_g_0,0.7,0.6790,false,500,1
960,t_0_g_2,0.104,0.7930,false,500,1
960,t_1_g_5,0,0.7930,false,500,1
960,t_2_g_5,0.046,0.7930,false,500,1
960,t_3_g_4,0.086,0.7930,false,500,1
960,t_4_g_0,0.764,0.7930,false,500,1
990,t_0_g_2,0.096,0.8110,false,500,1
990,t_1_g_5,0.034,0.8110,false,500,1
990,t_2_g_5,0.082,0.8110,false,500,1
990,t_3_g_5,0.004,0.8110,false,500,1
990,t_4_g_0,0.784,0.8110,false,500,1
1020,t_0_g_2,0.044,0.7730,false,500,1
1020,t_1_g_5,0.058,0.7730,false,500,1
1020,t_2_g_5,0.086,0.7730,false,500,1
1020,t_3_g_5,0.03,0.7730,false,500,1
1020,t_4_g_0,0.782,0.7730,false,500,1
1050,t_0_g_2,0.052,0.7560,false,500,1
1050,t_1_g_5,0.042,0.7560,false,500,1
1050,t_2_g_5,0.052,0.7560,false,500,1
1050,t_3_g_5,0.06,0.7560,false,500,1
1050,t_4_g_0,0.794,0.7560,false,500,1
1080,t_0_g_3,0.004,0.8180,false,500,1
1080,t_1_g_5,0.04,0.8180,false,500,1
1080,t_2_g_5,0.07,0.8180,false,500,1
1080,t_3_g_5,0.088,0.8180,false,500,1
1080,t_4_g_0,0.798,0.8180,false,500,1
1110,t_0_g_3,0.038,0.7620,false,500,1
1110,t_1_g_5,0.054,0.7620,false,500,1
1110,t_2_g_5,0.066,0.7620,false,500,1
1110,t_3_g_5,0.05,0.7620,false,500,1
1110,t_4_g_0,0.792,0.7620,false,500,1
1140,t_0_g_3,0.084,0.7980,false,500,1
1140,t_1_g_6,0.002,0.7980,false,500,1
1140,t_2_g_5,0.084,0.7980,false,500,1
1140,t_3_g_5,0.048,0.7980,false,500,1
1140,t_4_g_0,0.782,0.7980,false,500,1
1170,t_0_g_3,0.138,0.8420,false,500,1
1170,t_1_g_6,0.058,0.8420,false,500,1
1170,t_2_g_6,0.002,0.8420,false,500,1
1170,t_3_g_6,0.018,0.8420,false,500,1
1170,t_4_g_0,0.784,0.8420,false,500,1
1200,t_0_g_3,0.148,0.8100,false,500,1
1200,t_1_g_6,0.062,0.8100,false,500,1
1200,t_2_g_6,0.012,0.8100,false,500,1
