tick,topic_id,popularity,gini_index,polarized,agents,ideology_weight
30,t_0_g_0,0.202,0.0660,false,500,2.5
30,t_1_g_0,0.208,0.0660,false,500,2.5
30,t_2_g_0,0.226,0.0660,false,500,2.5
30,t_3_g_0,0.2,0.0660,false,500,2.5
30,t_4_g_0,0.164,0.0660,false,500,2.5
60,t_0_g_0,0.202,0.0660,false,500,2.5
60,t_1_g_0,0.208,0.0660,false,500,2.5
60,t_2_g_0,0.226,0.0660,false,500,2.5
60,t_3_g_0,0.2,0.0660,false,500,2.5
60,t_4_g_0,0.164,0.0660,false,500,2.5
90,t_0_g_0,0.264,0.2730,false,500,2.5
90,t_1_g_0,0.272,0.2730,false,500,2.5
90,t_2_g_0,0.274,0.2730,false,500,2.5
90,t_3_g_0,0.106,0.2730,false,500,2.5
90,t_4_g_0,0.084,0.2730,false,500,2.5
120,t_0_g_0,0.27,0.2800,false,500,2.5
120,t_1_g_0,0.274,0.2800,false,500,2.5
120,t_2_g_0,0.274,0.2800,false,500,2.5
120,t_3_g_0,0.102,0.2800,false,500,2.5
120,t_4_g_0,0.08,0.2800,false,500,2.5
150,t_0_g_0,0.262,0.3720,false,500,2.5
150,t_1_g_0,0.312,0.3720,false,500,2.5
150,t_2_g_0,0.292,0.3720,false,500,2.5
150,t_3_g_0,0.038,0.3720,false,500,2.5
150,t_4_g_0,0.096,0.3720,false,500,2.5
180,t_0_g_0,0.258,0.4163,false,500,2.5
180,t_1_g_0,0.302,0.4163,false,500,2.5
180,t_2_g_0,0.294,0.4163,false,500,2.5
180,t_3_g_1,0,0.4163,false,500,2.5
180,t_4_g_0,0.102,0.4163,false,500,2.5
210,t_0_g_0,0.28,0.4530,false,500,2.5
210,t_1_g_0,0.324,0.4530,false,500,2.5
210,t_2_g_0,0.328,0.4530,false,500,2.5
210,t_3_g_1,0.062,0.4530,false,500,2.5
210,t_4_g_1,0.006,0.4530,false,500,2.5
240,t_0_g_0,0.27,0.4410,false,500,2.5
240,t_1_g_0,0.32,0.4410,false,500,2.5
240,t_2_g_0,0.328,0.4410,false,500,2.5
240,t_3_g_1,0.07,0.4410,false,500,2.5
240,t_4_g_1,0.012,0.4410,false,500,2.5
270,t_0_g_0,0.228,0.3950,false,500,2.5
270,t_1_g_0,0.326,0.3950,false,500,2.5
270,t_2_g_0,0.322,0.3950,false,500,2.5
270,t_3_g_1,0.064,0.3950,false,500,2.5
270,t_4_g_1,0.06,0.3950,false,500,2.5
300,t_0_g_0,0.226,0.4130,false,500,2.5
300,t_1_g_0,0.34,0.4130,false,500,2.5
300,t_2_g_0,0.318,0.4130,false,500,2.5
300,t_3_g_1,0.056,0.4130,false,500,2.5
300,t_4_g_1,0.06,0.4130,false,500,2.5
330,t_0_g_0,0.242,0.4420,false,500,2.5
330,t_1_g_0,0.34,0.4420,false,500,2.5
330,t_2_g_0,0.332,0.4420,false,500,2.5
330,t_3_g_1,0.044,0.4420,false,500,2.5
330,t_4_g_1,0.042,0.4420,false,500,2.5
360,t_0_g_0,0.24,0.4340,false,500,2.5
360,t_1_g_0,0.352,0.4340,false,500,2.5
360,t_2_g_0,0.31,0.4340,false,500,2.5
360,t_3_g_1,0.05,0.4340,false,500,2.5
360,t_4_g_1,0.048,0.4340,false,500,2.5
390,t_0_g_1,0.002,0.6280,false,500,2.5
390,t_1_g_0,0.448,0.6280,false,500,2.5
390,t_2_g_0,0.412,0.6280,false,500,2.5
390,t_3_g_2,0.09,0.6280,false,500,2.5
390,t_4_g_2,0.048,0.6280,false,500,2.5
420,t_0_g_1,0.004,0.6120,false,500,2.5
420,t_1_g_0,0.438,0.6120,false,500,2.5
420,t_2_g_0,0.41,0.6120,false,500,2.5
420,t_3_g_2,0.094,0.6120,false,500,2.5
420,t_4_g_2,0.054,0.6120,false,500,2.5
450,t_0_g_1,0.024,0.5780,false,500,2.5
450,t_1_g_0,0.422,0.5780,false,500,2.5
450,t_2_g_0,0.416,0.5780,false,500,2.5
450,t_3_g_2,0.082,0.5780,false,500,2.5
450,t_4_g_2,0.056,0.5780,false,500,2.5
480,t_0_g_1,0.038,0.5520,false,500,2.5
480,t_1_g_0,0.424,0.5520,false,500,2.5
480,t_2_g_0,0.394,0.5520,false,500,2.5
480,t_3_g_2,0.082,0.5520,false,500,2.5
480,t_4_g_2,0.062,0.5520,false,500,2.5
510,t_0_g_1,0.056,0.5360,false,500,2.5
510,t_1_g_0,0.434,0.5360,false,500,2.5
510,t_2_g_0,0.38,0.5360,false,500,2.5
510,t_3_g_2,0.066,0.5360,false,500,2.5
510,t_4_g_2,0.064,0.5360,false,500,2.5
540,t_0_g_1,0.08,0.5580,false,500,2.5
540,t_1_g_0,0.434,0.5580,false,500,2.5
540,t_2_g_0,0.386,0.5580,false,500,2.5
540,t_3_g_2,0.062,0.5580,false,500,2.5
540,t_4_g_2,0.038,0.5580,false,500,2.5
570,t_0_g_1,0.102,0.6090,false,500,2.5
570,t_1_g_0,0.422,0.6090,false,500,2.5
570,t_2_g_0,0.43,0.6090,false,500,2.5
570,t_3_g_3,0.028,0.6090,false,500,2.5
570,t_4_g_3,0.018,0.6090,false,500,2.5
600,t_0_g_2,0,0.6460,false,500,2.5
600,t_1_g_0,0.446,0.6460,false,500,2.5
600,t_2_g_0,0.448,0.6460,false,500,2.5
600,t_3_g_3,0.056,0.6460,false,500,2.5
600,t_4_g_3,0.05,0.6460,false,500,2.5
630,t_0_g_2,0.022,0.5920,false,500,2.5
630,t_1_g_0,0.438,0.5920,false,500,2.5
630,t_2_g_0,0.414,0.5920,false,500,2.5
630,t_3_g_3,0.064,0.5920,false,500,2.5
630,t_4_g_3,0.062,0.5920,false,500,2.5
660,t_0_g_2,0.142,0.5160,false,500,2.5
660,t_1_g_0,0.494,0.5160,false,500,2.5
660,t_2_g_1,0.006,0.5160,false,500,2.5
660,t_3_g_3,0.198,0.5160,false,500,2.5
660,t_4_g_3,0.16,0.5160,false,500,2.5
690,t_0_g_2,0.136,0.4980,false,500,2.5
690,t_1_g_0,0.482,0.4980,false,500,2.5
690,t_2_g_1,0.018,0.4980,false,500,2.5
690,t_3_g_3,0.204,0.4980,false,500,2.5
690,t_4_g_3,0.16,0.4980,false,500,2.5
720,t_0_g_2,0.06,0.5440,false,500,2.5
720,t_1_g_0,0.532,0.5440,false,500,2.5
720,t_2_g_1,0.088,0.5440,false,500,2.5
720,t_3_g_3,0.232,0.5440,false,500,2.5
720,t_4_g_3,0.088,0.5440,false,500,2.5
750,t_0_g_2,0.088,0.6110,false,500,2.5
750,t_1_g_0,0.534,0.6110,false,500,2.5
750,t_2_g_1,0.118,0.6110,false,500,2.5
750,t_3_g_3,0.254,0.6110,false,500,2.5
750,t_4_g_4,0.006,0.6110,false,500,2.5
780,t_0_g_3,0.008,0.6590,false,500,2.5
780,t_1_g_0,0.556,0.6590,false,500,2.5
780,t_2_g_1,0.082,0.6590,false,500,2.5
780,t_3_g_3,0.288,0.6590,false,500,2.5
780,t_4_g_4,0.066,0.6590,false,500,2.5
810,t_0_g_3,0.042,0.5930,false,500,2.5
810,t_1_g_0,0.522,0.5930,false,500,2.5
810,t_2_g_1,0.06,0.5930,false,500,2.5
810,t_3_g_3,0.286,0.5930,false,500,2.5
810,t_4_g_4,0.09,0.5930,false,500,2.5
840,t_0_g_3,0.072,0.5930,false,500,2.5
840,t_1_g_0,0.5,0.5930,false,500,2.5
840,t_2_g_2,0.026,0.5930,false,500,2.5
840,t_3_g_3,0.31,0.5930,false,500,2.5
840,t_4_g_4,0.092,0.5930,false,500,2.5
870,t_0_g_3,0.2,0.4670,false,500,2.5
870,t_1_g_1,0.004,0.4670,false,500,2.5
870,t_2_g_2,0.14,0.4670,false,500,2.5
870,t_3_g_3,0.426,0.4670,false,500,2.5
870,t_4_g_4,0.23,0.4670,false,500,2.5
900,t_0_g_3,0.206,0.4130,false,500,2.5
900,t_1_g_1,0.024,0.4130,false,500,2.5
900,t_2_g_2,0.156,0.4130,false,500,2.5
900,t_3_g_3,0.412,0.4130,false,500,2.5
900,t_4_g_4,0.202,0.4130,false,500,2.5
930,t_0_g_3,0.134,0.3980,false,500,2.5
930,t_1_g_1,0.096,0.3980,false,500,2.5
930,t_2_g_2,0.11,0.3980,false,500,2.5
930,t_3_g_3,0.438,0.3980,false,500,2.5
930,t_4_g_4,0.222,0.3980,false,500,2.5
960,t_0_g_3,0.134,0.3730,false,500,2.5
960,t_1_g_1,0.098,0.3730,false,500,2.5
960,t_2_g_2,0.126,0.3730,false,500,2.5
960,t_3_g_3,0.426,0.3730,false,500,2.5
960,t_4_g_4,0.216,0.3730,false,500,2.5
990,t_0_g_4,0.006,0.5620,false,500,2.5
990,t_1_g_1,0.136,0.5620,false,500,2.5
990,t_2_g_2,0.096,0.5620,false,500,2.5
990,t_3_g_3,0.47,0.5620,false,500,2.5
990,t_4_g_4,0.292,0.5620,false,500,2.5
1020,t_0_g_4,0.024,0.5400,false,500,2.5
