tick,topic_id,popularity,gini_index,polarized,agents,ideology_weight
30,t_0_g_0,0.346,0.0460,false,500,1
30,t_1_g_0,0.35,0.0460,false,500,1
30,t_2_g_0,0.304,0.0460,false,500,1
60,t_0_g_0,0.346,0.0460,false,500,1
60,t_1_g_0,0.35,0.0460,false,500,1
60,t_2_g_0,0.304,0.0460,false,500,1
90,t_0_g_0,0.49,0.4640,false,500,1
90,t_1_g_0,0.026,0.4640,false,500,1
90,t_2_g_0,0.484,0.4640,false,500,1
120,t_0_g_0,0.482,0.4400,false,500,1
120,t_1_g_0,0.042,0.4400,false,500,1
120,t_2_g_0,0.476,0.4400,false,500,1
150,t_0_g_0,0.484,0.4600,false,500,1
150,t_1_g_0,0.028,0.4600,false,500,1
150,t_2_g_0,0.488,0.4600,false,500,1
180,t_0_g_0,0.468,0.5175,false,500,1
180,t_1_g_1,0,0.5175,false,500,1
180,t_2_g_0,0.502,0.5175,false,500,1
210,t_0_g_0,0.484,0.4840,false,500,1
210,t_1_g_1,0.016,0.4840,false,500,1
210,t_2_g_0,0.5,0.4840,false,500,1
240,t_0_g_0,0.474,0.4580,false,500,1
240,t_1_g_1,0.034,0.4580,false,500,1
240,t_2_g_0,0.492,0.4580,false,500,1
270,t_0_g_0,0.468,0.4200,false,500,1
270,t_1_g_1,0.056,0.4200,false,500,1
270,t_2_g_0,0.476,0.4200,false,500,1
300,t_0_g_1,0.004,0.6640,false,500,1
300,t_1_g_1,0.328,0.6640,false,500,1
300,t_2_g_0,0.668,0.6640,false,500,1
330,t_0_g_1,0.03,0.6040,false,500,1
330,t_1_g_1,0.336,0.6040,false,500,1
330,t_2_g_0,0.634,0.6040,false,500,1
360,t_0_g_1,0.202,0.7420,false,500,1
360,t_1_g_1,0.028,0.7420,false,500,1
360,t_2_g_0,0.77,0.7420,false,500,1
390,t_0_g_1,0.226,0.7460,false,500,1
390,t_1_g_2,0.014,0.7460,false,500,1
390,t_2_g_0,0.76,0.7460,false,500,1
420,t_0_g_1,0.036,0.7980,false,500,1
420,t_1_g_2,0.13,0.7980,false,500,1
420,t_2_g_0,0.834,0.7980,false,500,1
450,t_0_g_1,0.034,0.7920,false,500,1
450,t_1_g_2,0.14,0.7920,false,500,1
450,t_2_g_0,0.826,0.7920,false,500,1
480,t_0_g_2,0.044,0.8440,false,500,1
480,t_1_g_2,0.068,0.8440,false,500,1
