tick,topic_id,popularity,gini_index,polarized,agents,ideology_weight
30,t_0_g_0,0.348,0.0340,false,500,1
30,t_1_g_0,0.338,0.0340,false,500,1
30,t_2_g_0,0.314,0.0340,false,500,1
60,t_0_g_0,0.348,0.0340,false,500,1
60,t_1_g_0,0.338,0.0340,false,500,1
60,t_2_g_0,0.314,0.0340,false,500,1
90,t_0_g_0,0.49,0.4620,false,500,1
90,t_1_g_0,0.028,0.4620,false,500,1
90,t_2_g_0,0.482,0.4620,false,500,1
120,t_0_g_0,0.486,0.4460,false,500,1
120,t_1_g_0,0.04,0.4460,false,500,1
120,t_2_g_0,0.474,0.4460,false,500,1
150,t_0_g_0,0.5,0.4640,false,500,1
150,t_1_g_0,0.036,0.4640,false,500,1
150,t_2_g_0,0.464,0.4640,false,500,1
180,t_0_g_0,0.508,0.5303,false,500,1
180,t_1_g_1,0,0.5303,false,500,1
180,t_2_g_0,0.45,0.5303,false,500,1
210,t_0_g_0,0.53,0.5060,false,500,1
210,t_1_g_1,0.024,0.5060,false,500,1
210,t_2_g_0,0.446,0.5060,false,500,1
240,t_0_g_0,0.522,0.4880,false,500,1
240,t_1_g_1,0.034,0.4880,false,500,1
240,t_2_g_0,0.444,0.4880,false,500,1
270,t_0_g_0,0.512,0.4600,false,500,1
270,t_1_g_1,0.052,0.4600,false,500,1
270,t_2_g_0,0.436,0.4600,false,500,1
300,t_0_g_0,0.68,0.7010,false,500,1
300,t_1_g_1,0.29,0.7010,false,500,1
300,t_2_g_1,0,0.7010,false,500,1
330,t_0_g_0,0.69,0.6720,false,500,1
330,t_1_g_1,0.292,0.6720,false,500,1
330,t_2_g_1,0.018,0.6720,false,500,1
360,t_0_g_0,0.722,0.6360,false,500,1
360,t_1_g_1,0.192,0.6360,false,500,1
360,t_2_g_1,0.086,0.6360,false,500,1
390,t_0_g_0,0.78,0.7620,false,500,1
390,t_1_g_2,0.018,0.7620,false,500,1
390,t_2_g_1,0.202,0.7620,false,500,1
420,t_0_g_0,0.762,0.7160,false,500,1
420,t_1_g_2,0.046,0.7160,false,500,1
420,t_2_g_1,0.192,0.7160,false,500,1
450,t_0_g_0,0.804,0.7720,false,500,1
450,t_1_g_2,0.164,0.7720,false,500,1
450,t_2_g_1,0.032,0.7720,false,500,1
480,t_0_g_0,0.766,0.7140,false,500,1
480,t_1_g_2,0.182,0.7140,false,500,1
480,t_2_g_1,0.052,0.7140,false,500,1
510,t_0_g_0,0.794,0.7620,false,500,1
510,t_1_g_2,0.174,0.7620,false,500,1
510,t_2_g_2,0.032,0.7620,false,500,1
540,t_0_g_0,0.832,0.7820,false,500,1
540,t_1_g_2,0.05,0.7820,false,500,1
540,t_2_g_2,0.118,0.7820,false,500,1
570,t_0_g_0,0.816,0.8020,false,500,1
570,t_1_g_3,0.014,0.8020,false,500,1
570,t_2_g_2,0.17,0.8020,false,500,1
600,t_0_g_0,0.838,0.7620,false,500,1
600,t_1_g_3,0.086,0.7620,false,500,1
600,t_2_g_2,0.076,0.7620,false,500,1
630,t_0_g_0,0.84,0.7980,false,500,1
630,t_1_g_3,0.118,0.7980,false,500,1
630,t_2_g_2,0.042,0.7980,false,500,1
660,t_0_g_0,0.838,0.7620,false,500,1
660,t_1_g_3,0.076,0.7620,false,500,1
660,t_2_g_2,0.086,0.7620,false,500,1
690,t_0_g_0,0.832,0.7660,false,500,1
690,t_1_g_3,0.066,0.7660,false,500,1
